opdate,unit#,vin#,license#,mileage,year,make,model,color,rims,rims_price,carpet_tear,carpet_tear_price,door_panel_burn,door_panel_burn_price,seat_burns,seat_burns_price
7-Jul,7L0MX1,GP379315,NULL,26795,2016, Toyota ,Corollla,red,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
7-Jul,7LQH00,GU125805,CA 7MUD276,21966,2016, Toyota ,Camry,blk,NULL,0,RIGHT-FRONT,35,NULL,0,NULL,0
7-Jul,7LF6NL,GC523529,NULL,28129,2016, Toyota ,Corolla,whte,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
7-Jul,7K0KJ6,FU023195,CA 7JQK356,23194,2015, Mercedes Benz ,C300,slvr,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
7-Jul,7KVS8W,FR138443,CA 7GRZ115,37898,2015, Ford ,Fusion,blk,RIGHT-FRONT RIGHT-REAR,140,NULL,0,NULL,0,NULL,0
7-Jul,7KQHXR,F2155123,CA 7HLG881,34239,2015, Lexus ,ES350,gray,LEFT-FRONT LEFT-REAR RIGHT-REAR,210,NULL,0,NULL,0,NULL,0
7-Jul,7KPWXY,FR550586,CA 7HSN467,40196,2015, Chevy ,Tahoe,slvr,RIGHT-REAR,70,NULL,0,NULL,0,NULL,0
5-Jul,7KV1BJ,FC322838,NULL,37429,2015,Toyota,Corolla, gray ,NULL,0,LEFT-FRONT,0,NULL,0,NULL,0
5-Jul,7L4X1G,EU696987,MO 7FQW410,41255,2014,Hyundai,Accent, brwn ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
5-Jul,7K1NPV,FN587594,CA 7HBR798,38431,2015,Chrysler,200, red ,NULL,0,NULL,0,NULL,0,LEFT-FRONT,40
5-Jul,7JRLN1,E9290108,NULL,27860,2014,Chevy,Camaro,blk,NULL,0,RIGHT-FRONT,35,NULL,0,NULL,0
5-Jul,7KKT29,FW166997,CA 7KHC197,31964,2015,Toyota,RAV4,blk,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
5-Jul,7KKLHX,FP260411,CA 7JSV828,37407,2015, Toyota ,Corolla,slvr,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
5-Jul,7KDQ88,FU030128,CA 7KBW164,38232,2015, Toyota ,Camry,Blk,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
5-Jul,7JJBFM,E0149951,NULL,23683,2014, Cadillac ,ATS,gray,RIGHT-FRONT,70,NULL,0,NULL,0,NULL,0
5-Jul,7KBCCF,FM046410,AZ AMJ3454,33897,2015, VW ,GTI,blk,LEFT-FRONT RIGHT-FRONT,140,NULL,0,NULL,0,NULL,0
5-Jul,7LWP25,G1237941,CA 7MXL036,14531,2016, Ford ,Transit Connect,whte,RIGHT-REAR,70,NULL,0,NULL,0,NULL,0
5-Jul,7L5R6R,G9131867,CA 7NVD904,16822,2016, Cadillac ,XTS,blk,LEFT-FRONT LEFT-REAR RIGHT-FRONT,210,NULL,0,NULL,0,NULL,0
5-Jul,7L8TFB,FN746921,CA 7MJM077,29168,2015, Chrysler ,200,whte,RIGHT-FRONT RIGHT-REAR,140,NULL,0,NULL,0,NULL,0
5-Jul,7KMB38,FP244653,CA 7GSY605,36013,2015, Toyota ,Corolla,slvr,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
30-Jun,7K1G1Q,FR707031,NULL,35702,2015,Chrysler,TC, slvr ,NULL,0,RIGHT-REAR,35,NULL,0,NULL,0
30-Jun,7K5SC6,FR511878,CA 7HPG354,43142,2015,Chevy,Tahoe, Blk ,NULL,0,RIGHT-REAR,35,NULL,0,NULL,0
30-Jun,7KQHDX,FR551283,CO 460QZM,43385,2015,Chevy,Suburban, Red ,RIGHT-REAR,70,NULL,0,NULL,0,NULL,0
30-Jun,7LQVLN,FU164160,CA 7KSL393,26837,2015,Toyota,Camry,blk,NULL,0,RIGHT-FRONT,35,NULL,0,NULL,0
30-Jun,7L909X,FR480528,CA 7KHJ463,38353,2015,Toyota,Camry,blk,NULL,0,RIGHT-FRONT,35,NULL,0,NULL,0
30-Jun,7MH22J,GR225004,NV 40C825,20760,2016,Dodge,Grand Caravan,whte,NULL,0,NULL,0,NULL,0,NULL,0
30-Jun,7L0NBS,GD518818,CA 7MJR981,27109,2016, Jeep ,Compass,blue,NULL,0,NULL,0,NULL,0,LEFT-FRONT,40
28-Jun,7KV8FM,FU819649,CA 7HST510,38139,2015,Hyundai,Accent, red ,NULL,0,LEFT-FRONT,35,NULL,0,NULL,0
28-Jun,7KPH95,FU818880,CA 7JQG170,40115,2015,Hyundai,Accent,blue,NULL,0,NULL,0,NULL,0,RIGHT-FRONT,40
